This file is called 3209G.txt Revised December 19, 2014.
T32N R09W Chippewa County Geodetic Grid (feet) 
PointNo.  Northing(Y)    Easting(X)     Elev(Z)    Description
1         243803.17      144046.63      0.00       281
2         243813.91      146672.49      0.00       282
3         243824.69      149298.49      0.00       283
4         243803.23      154560.67      0.00       285
5         238518.61      154527.05      0.00       0
6         241160.29      154544.29      0.00       0
7         249028.49      149273.43      0.00       0
8         250037.82      149321.73      0.00       0
9         249084.83      149343.69      0.00       191
10        227961.04      149101.08      0.00       571
11        227997.60      143835.19      0.00       569
12        233320.55      138636.82      0.00       463
13        233310.58      141280.58      0.00       464
14        233297.80      143903.08      0.00       465
15        227916.39      159668.49      0.00       575
16        230551.79      159696.12      0.00       527
17        230591.90      154421.94      0.00       526
18        233213.35      157100.53      0.00       470
19        233237.25      154458.73      0.00       469
20        233187.99      159732.11      0.00       471
21        233329.97      140935.26      0.00       464S
22        233280.26      143919.39      0.00       465S
23        233291.84      149146.81      0.00       467S
24        233275.14      150898.21      0.00       468S
25        233248.79      151821.36      0.00       468
27        233274.06      149183.86      0.00       467
28        259337.83      136273.79      0.00       2
29        257026.20      133486.16      0.00       62
30        257078.88      138881.33      0.00       63
31        254401.43      136198.88      0.00       94
32        254206.48      157165.84      0.00       102
33        251803.45      138824.41      0.00       155
34        246477.07      133390.95      0.00       246
35        246437.32      144073.48      0.00       248
36        241285.61      133350.47      0.00       338
37        241185.71      149277.89      0.00       341
38        238629.09      133255.20      0.00       369
39        238546.34      149257.45      0.00       375
40        238532.27      151892.64      0.00       376
41        233129.57      162366.69      0.00       472
42        249493.16      138778.86      0.00       187S
43        249076.84      141434.11      0.00       188S
44        247754.45      141388.02      0.00       188S1
45        248403.14      144098.36      0.00       189S
46        248906.76      157202.79      0.00       194S
47        248690.56      157170.70      0.00       194S1
48        246549.36      138767.68      0.00       247S
49        244896.29      133393.31      0.00       277S
50        243850.11      141972.96      0.00       280S
51        243822.39      141621.90      0.00       280S1
52        241094.93      143984.61      0.00       340S
53        238548.43      142218.02      0.00       372S
54        238565.88      143936.09      0.00       373S
55        259394.20      138957.12      0.00       3S
56        233280.26      143919.39      0.00       465S
57        233150.00      164643.73      0.00       473S
58        233186.50      164789.86      0.00       473S1
59        230534.31      134287.17      0.00       522S
60        229914.89      133665.41      0.00       522S1
61        254452.14      138808.30      0.00       95S
62        254464.76      144049.11      0.00       97S
63        254549.20      144071.51      0.00       97S1
64        253763.08      168418.44      0.00       JACK_LAKE
65        229638.12      128177.02      0.00       NEW_AUBURN
66        222507.28      148897.87      0.00       TROWBRIDGE
67        264621.78      130987.26      0.00       VANA_ACRES
68        254370.02      144096.05      0.00       97TIE
69        254378.50      144094.80      0.00       97TIE
70        254383.95      133437.42      0.00       93
71        254438.93      138847.72      0.00       95
72        259283.70      138909.27      0.00       3
73        246556.77      138794.75      0.00       247TIE
74        246503.33      138774.94      0.00       247TIE
75        246491.39      138736.99      0.00       247TIE
76        249167.86      138801.28      0.00       187
77        243840.49      133369.20      0.00       277
78        249141.90      141448.11      0.00       188TIE
79        249136.12      141388.18      0.00       188TIE
80        249082.61      141386.03      0.00       188TIE
81        249071.55      144100.41      0.00       189
82        243840.79      141400.20      0.00       280
83        230736.49      133160.31      0.00       522
84        239580.38      143963.36      0.00       0
85        241155.06      144006.22      0.00       340
86        238551.50      143966.67      0.00       373
87        238575.76      141321.32      0.00       372
88        249017.78      157178.26      0.00       194
89        233180.61      164997.89      0.00       473MC
90        254369.52      144104.99      0.00       97
91        246523.14      138777.57      0.00       247
